,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
1642064,360470232004000,360470503001001,1,1,0,0,0,1,0,0,0,1,20170919,40.7132031,-73.9467147,"Kings County, NY",40.6385605,-73.9866451,"Kings County, NY","LINESTRING(-73.9467147 40.7132031, -73.9866451 40.6385605)"
3857181,360610095002001,360470301003000,1,0,1,0,0,1,0,0,0,1,20170919,40.6782753,-73.9177066,"Kings County, NY",40.7481444,-73.9945509,"New York County, NY","LINESTRING(-73.9177066 40.6782753, -73.9945509 40.7481444)"
5381967,360810081001007,360470676001003,1,0,1,0,0,0,1,1,0,0,20170919,40.6248466,-73.9250709,"Kings County, NY",40.7687218,-73.9347039,"Queens County, NY","LINESTRING(-73.9250709 40.6248466, -73.9347039 40.7687218)"
1849032,360470554002000,360470430001000,1,0,1,0,1,0,0,0,0,1,20170919,40.6113856,-73.9827386,"Kings County, NY",40.6066521,-73.9602973,"Kings County, NY","LINESTRING(-73.9827386 40.6113856, -73.9602973 40.6066521)"
3826097,360610094001008,360610061001003,1,0,1,0,0,0,1,0,0,1,20170919,40.7332844,-73.9941929,"New York County, NY",40.7542232,-73.9776529,"New York County, NY","LINESTRING(-73.9941929 40.7332844, -73.9776529 40.7542232)"
5737469,360810857002000,360811265001009,1,1,0,0,0,0,1,0,1,0,20170919,40.7207797,-73.7997603,"Queens County, NY",40.758106,-73.8216494,"Queens County, NY","LINESTRING(-73.7997603 40.7207797, -73.8216494 40.758106)"
3872283,360610096001003,360810513001004,1,0,1,0,0,1,0,0,1,0,20170919,40.7332323,-73.8969279,"Queens County, NY",40.7570255,-73.9804137,"New York County, NY","LINESTRING(-73.8969279 40.7332323, -73.9804137 40.7570255)"
281498,360050096002016,360470041003001,1,0,0,1,0,0,1,0,0,1,20170919,40.6855552,-73.9843903,"Kings County, NY",40.8323365,-73.8438178,"Bronx County, NY","LINESTRING(-73.9843903 40.6855552, -73.8438178 40.8323365)"
3685085,360610083003002,360470423002003,1,0,1,0,0,0,1,0,0,1,20170919,40.6992834,-73.9292388,"Kings County, NY",40.7425575,-74.0060562,"New York County, NY","LINESTRING(-73.9292388 40.6992834, -74.0060562 40.7425575)"
5435179,360810179002008,360470369003002,1,0,1,0,0,0,1,0,0,1,20170919,40.6785972,-73.909449,"Kings County, NY",40.7445019,-73.9302878,"Queens County, NY","LINESTRING(-73.909449 40.6785972, -73.9302878 40.7445019)"
1469781,360470022001001,360850134001015,1,0,0,1,0,0,1,0,0,1,20170919,40.5731214,-74.1185985,"Richmond County, NY",40.6466771,-74.0212288,"Kings County, NY","LINESTRING(-74.1185985 40.5731214, -74.0212288 40.6466771)"
5657727,360810711002000,360810283005000,2,1,1,0,1,0,1,0,0,2,20170919,40.7506217,-73.8858914,"Queens County, NY",40.7212214,-73.8484441,"Queens County, NY","LINESTRING(-73.8858914 40.7506217, -73.8484441 40.7212214)"
1767497,360470470002002,360850007001002,1,0,0,1,0,1,0,0,0,1,20170919,40.6452442,-74.0867621,"Richmond County, NY",40.6262032,-73.9887212,"Kings County, NY","LINESTRING(-74.0867621 40.6452442, -73.9887212 40.6262032)"
3411492,360610055022005,360810855004001,1,1,0,0,1,0,0,0,1,0,20170919,40.7591924,-73.8247548,"Queens County, NY",40.7258297,-73.9958922,"New York County, NY","LINESTRING(-73.8247548 40.7591924, -73.9958922 40.7258297)"
5477558,360810243004006,360610219001014,1,0,0,1,0,1,0,0,1,0,20170919,40.8157175,-73.9576557,"New York County, NY",40.7390506,-73.898275,"Queens County, NY","LINESTRING(-73.9576557 40.8157175, -73.898275 40.7390506)"
1660347,360470259011003,360470776001003,1,0,1,0,0,1,0,0,0,1,20170919,40.6315281,-73.942683,"Kings County, NY",40.6947597,-73.9447333,"Kings County, NY","LINESTRING(-73.942683 40.6315281, -73.9447333 40.6947597)"
3146803,360610021002006,360470526001001,1,0,0,1,1,0,0,0,0,1,20170919,40.6388334,-73.9672899,"Kings County, NY",40.7145342,-74.0123449,"New York County, NY","LINESTRING(-73.9672899 40.6388334, -74.0123449 40.7145342)"
5929654,360850074002013,360850273012004,1,1,0,0,0,1,0,0,0,1,20170919,40.5952423,-74.1582821,"Richmond County, NY",40.5943047,-74.062559,"Richmond County, NY","LINESTRING(-74.1582821 40.5952423, -74.062559 40.5943047)"
