,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
3384267,360610052002006,360610108004000,1,0,1,0,0,1,0,0,0,1,20170919,40.7578206,-73.9648247,"New York County, NY",40.7359509,-73.9924173,"New York County, NY","LINESTRING(-73.9648247 40.7578206, -73.9924173 40.7359509)"
4300962,360610122003002,360470273001001,1,1,0,0,0,1,0,0,0,1,20170919,40.6818979,-73.9392767,"Kings County, NY",40.7673696,-73.9697024,"New York County, NY","LINESTRING(-73.9392767 40.6818979, -73.9697024 40.7673696)"
1473734,360470031002000,360470996002000,1,0,0,1,0,1,0,0,0,1,20170919,40.6335268,-73.9054259,"Kings County, NY",40.6904798,-73.9810068,"Kings County, NY","LINESTRING(-73.9054259 40.6335268, -73.9810068 40.6904798)"
5529218,360810329003006,360810717021006,1,0,1,0,1,0,0,0,0,1,20170919,40.7339088,-73.8618942,"Queens County, NY",40.7639461,-73.8845387,"Queens County, NY","LINESTRING(-73.8618942 40.7339088, -73.8845387 40.7639461)"
6736887,361031584011014,361031583212028,1,0,1,0,0,0,1,0,0,1,20170919,40.8853704,-73.0278401,"Suffolk County, NY",40.9449003,-72.947335,"Suffolk County, NY","LINESTRING(-73.0278401 40.8853704, -72.947335 40.9449003)"
6546460,361031456031020,361031459012001,4,1,2,1,0,0,4,1,0,3,20170919,40.7674444,-73.2807239,"Suffolk County, NY",40.7778566,-73.2867725,"Suffolk County, NY","LINESTRING(-73.2807239 40.7674444, -73.2867725 40.7778566)"
5431075,360810179001009,360050239003000,1,0,1,0,0,1,0,1,0,0,20170919,40.8563192,-73.9035499,"Bronx County, NY",40.7457004,-73.9328831,"Queens County, NY","LINESTRING(-73.9035499 40.8563192, -73.9328831 40.7457004)"
6305201,361031106002007,361031227052007,1,0,1,0,0,1,0,0,0,1,20170919,40.7634248,-73.3456139,"Suffolk County, NY",40.9010322,-73.3350633,"Suffolk County, NY","LINESTRING(-73.3456139 40.7634248, -73.3350633 40.9010322)"
369969,360050284001010,360610225005000,1,0,1,0,0,0,1,0,0,1,20170919,40.8220745,-73.950937,"New York County, NY",40.8505963,-73.8386322,"Bronx County, NY","LINESTRING(-73.950937 40.8220745, -73.8386322 40.8505963)"
5677770,360810716001061,360470826003004,2,1,1,0,1,1,0,0,2,0,20170919,40.6437605,-73.9502624,"Kings County, NY",40.6466841,-73.7896063,"Queens County, NY","LINESTRING(-73.9502624 40.6437605, -73.7896063 40.6466841)"
2961026,360595218023001,360470152003002,1,0,1,0,0,0,1,0,1,0,20170919,40.6172887,-74.0227735,"Kings County, NY",40.6759561,-73.4419674,"Nassau County, NY","LINESTRING(-74.0227735 40.6172887, -73.4419674 40.6759561)"
6037603,360870114042002,360870109021022,1,0,0,1,0,0,1,0,0,1,20170919,41.1468225,-73.9298678,"Rockland County, NY",41.117236,-74.0188115,"Rockland County, NY","LINESTRING(-73.9298678 41.1468225, -74.0188115 41.117236)"
6595467,361031461051002,360595217003007,1,0,1,0,0,0,1,0,0,1,20170919,40.6720261,-73.4600784,"Nassau County, NY",40.7794218,-73.23065,"Suffolk County, NY","LINESTRING(-73.4600784 40.6720261, -73.23065 40.7794218)"
5498190,360810278002001,360470514004002,1,0,1,0,0,1,0,0,0,1,20170919,40.6439273,-73.9604747,"Kings County, NY",40.6854091,-73.7828558,"Queens County, NY","LINESTRING(-73.9604747 40.6439273, -73.7828558 40.6854091)"
5537428,360810337002002,360810128002002,1,0,0,1,0,0,1,0,0,1,20170919,40.6969005,-73.8396431,"Queens County, NY",40.7568665,-73.8832368,"Queens County, NY","LINESTRING(-73.8396431 40.6969005, -73.8832368 40.7568665)"
446506,360050421001000,360050050022000,4,0,4,0,0,1,3,0,0,4,20170919,40.8271562,-73.8802727,"Bronx County, NY",40.8808687,-73.8798753,"Bronx County, NY","LINESTRING(-73.8802727 40.8271562, -73.8798753 40.8808687)"
7137291,361190054001000,361190131023015,1,0,0,1,0,1,0,0,0,1,20170919,41.1482196,-73.7554534,"Westchester County, NY",40.9091951,-73.8061936,"Westchester County, NY","LINESTRING(-73.7554534 41.1482196, -73.8061936 40.9091951)"
3397552,360610054001004,360470197002000,1,0,1,0,1,0,0,0,0,1,20170919,40.688074,-73.9637426,"Kings County, NY",40.7388885,-73.9936222,"New York County, NY","LINESTRING(-73.9637426 40.688074, -73.9936222 40.7388885)"
5740153,360810864001000,360810379003001,1,1,0,0,0,1,0,0,1,0,20170919,40.7567594,-73.8649867,"Queens County, NY",40.6722196,-73.83057,"Queens County, NY","LINESTRING(-73.8649867 40.7567594, -73.83057 40.6722196)"
2428403,360593010004017,360594055001000,1,0,1,0,1,0,0,0,0,1,20170919,40.7047472,-73.66257,"Nassau County, NY",40.8533789,-73.703542,"Nassau County, NY","LINESTRING(-73.66257 40.7047472, -73.703542 40.8533789)"
5724956,360810840001003,360594058001024,1,0,0,1,0,1,0,0,0,1,20170919,40.713194,-73.6586561,"Nassau County, NY",40.6742486,-73.8134213,"Queens County, NY","LINESTRING(-73.6586561 40.713194, -73.8134213 40.6742486)"
6688420,361031580071006,361031585112006,1,0,1,0,0,1,0,0,0,1,20170919,40.8498896,-73.0862647,"Suffolk County, NY",40.9146885,-73.1176369,"Suffolk County, NY","LINESTRING(-73.0862647 40.8498896, -73.1176369 40.9146885)"
7208091,361190089011011,360810799001002,1,0,0,1,0,1,0,1,0,0,20170919,40.7476672,-73.8274843,"Queens County, NY",41.0471535,-73.7683808,"Westchester County, NY","LINESTRING(-73.8274843 40.7476672, -73.7683808 41.0471535)"
3687450,360610083003002,360811333003002,1,0,1,0,0,0,1,0,0,1,20170919,40.7300984,-73.7821045,"Queens County, NY",40.7425575,-74.0060562,"New York County, NY","LINESTRING(-73.7821045 40.7300984, -74.0060562 40.7425575)"
5929536,360850074002000,360850208033020,1,0,1,0,0,1,0,0,0,1,20170919,40.5268821,-74.2019402,"Richmond County, NY",40.5983552,-74.064263,"Richmond County, NY","LINESTRING(-74.2019402 40.5268821, -74.064263 40.5983552)"
2564376,360594049015009,360593024005020,1,1,0,0,0,0,1,0,0,1,20170919,40.7659958,-73.6462523,"Nassau County, NY",40.6966914,-73.7175636,"Nassau County, NY","LINESTRING(-73.6462523 40.7659958, -73.7175636 40.6966914)"
3756539,360610091001001,360810155002000,1,0,1,0,0,0,1,0,0,1,20170919,40.7627939,-73.9164399,"Queens County, NY",40.744656,-73.9934526,"New York County, NY","LINESTRING(-73.9164399 40.7627939, -73.9934526 40.744656)"
7091832,361190021013011,360595200024012,1,0,1,0,0,1,0,0,0,1,20170919,40.7359094,-73.4758398,"Nassau County, NY",40.9639313,-73.8405682,"Westchester County, NY","LINESTRING(-73.4758398 40.7359094, -73.8405682 40.9639313)"
6519311,361031352091016,361031456022017,1,0,1,0,1,0,0,1,0,0,20170919,40.7898557,-73.2482569,"Suffolk County, NY",40.8214959,-73.2555717,"Suffolk County, NY","LINESTRING(-73.2482569 40.7898557, -73.2555717 40.8214959)"
1790950,360470500003000,360594142023007,1,0,1,0,1,0,0,0,0,1,20170919,40.663506,-73.5804563,"Nassau County, NY",40.6466983,-73.9755678,"Kings County, NY","LINESTRING(-73.5804563 40.663506, -73.9755678 40.6466983)"
2672958,360594082007000,360594156004007,1,0,0,1,1,0,0,0,0,1,20170919,40.6766407,-73.5173811,"Nassau County, NY",40.7243359,-73.5639869,"Nassau County, NY","LINESTRING(-73.5173811 40.6766407, -73.5639869 40.7243359)"
6476956,361031242005001,361031467062017,1,0,0,1,0,0,1,0,0,1,20170919,40.7273519,-73.2926012,"Suffolk County, NY",40.6707806,-73.358008,"Suffolk County, NY","LINESTRING(-73.2926012 40.7273519, -73.358008 40.6707806)"
434467,360050399021000,360050147012001,1,0,1,0,0,1,0,0,1,0,20170919,40.8340619,-73.9047488,"Bronx County, NY",40.8609715,-73.8928067,"Bronx County, NY","LINESTRING(-73.9047488 40.8340619, -73.8928067 40.8609715)"
5545896,360810367002008,360594081003004,1,1,0,0,0,1,0,0,0,1,20170919,40.7047168,-73.550678,"Nassau County, NY",40.7620287,-73.8645277,"Queens County, NY","LINESTRING(-73.550678 40.7047168, -73.8645277 40.7620287)"
242139,360050061001000,360470730001006,1,1,0,0,1,0,0,0,0,1,20170919,40.626849,-73.9301629,"Kings County, NY",40.8252179,-73.9202975,"Bronx County, NY","LINESTRING(-73.9301629 40.626849, -73.9202975 40.8252179)"
3651145,360610082001001,361190016004010,1,1,0,0,0,1,0,0,0,1,20170919,40.9437751,-73.8800314,"Westchester County, NY",40.7528098,-73.98033,"New York County, NY","LINESTRING(-73.8800314 40.9437751, -73.98033 40.7528098)"
